Unique ID,Composition,doi,Phases present,Density (g/cm3),Elastic Modulus (GPa),Compressive strength (MPa),σ(MPa) at 1000 C,σ(MPa) at 1200 C,Shear Modulus (GPa),C11 Elastic Constant (GPa),Fracture Toughness,Ductility (%),Test Type,Al,C,Co,Cr,Cu,Fe,Ga,Gd,Mg,Mn,Mo,Ni,Pb,Ti,V,Zn,Total_Composition,Num_Elements,Cu_Fe_Ratio,Has_FCC_Phase,Has_BCC_Phase,Has_HCP_Phase,Has_IM_Phase,Num_Phases,FCC,BCC,HCP,IM,Source,Hardness (HVN),Plasticity (%) - Compressive,Processing_Temperature_C,Processing_Temperature_K,Num_Crystal_Structures,Ag,B,Ca,Ge,Hf,Li,N,Nb,Nd,Pd,Re,Sc,Si,Sn,Ta,W,Y,Zr,Method_Other,Method_Unknown,Method_annealing,Method_arc_melting,Method_as_cast,Method_room_temperature,Method_sintering,Cu_Content,Fe_Content
6-132426272829-161616161616-000057_1,AlCoCrCuFeNi,10.1016/j.jallcom.2013.08.176,,7.526,198.0,332.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,1.0000000000000002,6,1.0,0,0,0,0,1.0,0,0,0,0,https://10.1016/j.jallcom.2013.08.176,410.0,11.3,499.85,773.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.16666666666666669,0.16666666666666669
6-132426272829-331313131313-000057_1,Al<sub>2.5</sub>CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,,6.506,198.0,285.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.025,0.0,0.195,0.195,0.195,0.195,0.0,0.0,0.0,0.0,0.0,0.195,0.0,0.0,0.0,0.0,1.0000000000000002,6,1.0,0,0,0,0,1.0,0,0,0,0,https://10.1016/j.jallcom.2013.08.176,410.0,11.3,499.85,773.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.195,0.195
6-132426272829-501010101010-000057_1,Al<sub>5</sub>CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,,5.62,198.0,344.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.05,0.0,0.19,0.19,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,1.0,6,1.0,0,0,0,0,1.0,0,0,0,0,https://10.1016/j.jallcom.2013.08.176,410.0,11.3,499.85,773.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.19,0.19
6-132426272829-091818181818-000079_1,Al<sub>0.5</sub>CoCrCuFeNi,10.1016/j.actamat.2015.07.004,FCC-1 + FCC-2,7.085,198.0,1284.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.005,0.0,0.19899999999999998,0.19899999999999998,0.19899999999999998,0.19899999999999998,0.0,0.0,0.0,0.0,0.0,0.19899999999999998,0.0,0.0,0.0,0.0,0.9999999999999999,6,1.0,1,0,0,0,2.0,1,0,0,0,https://10.1016/j.actamat.2015.07.004,410.0,11.3,499.85,773.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.19899999999999998,0.19899999999999998
6-222426272829-131717171717-000080_1,CrFeCoNiCuTi<sub>0.8</sub>,10.1016/j.matdes.2015.06.072,,7.58,198.0,1042.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.0,0.0,0.1984,0.1984,0.1984,0.1984,0.0,0.0,0.0,0.0,0.0,0.1984,0.0,0.008,0.0,0.0,1.0,6,1.0,0,0,0,0,1.0,0,0,0,0,https://10.1016/j.matdes.2015.06.072,410.0,11.3,499.85,773.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.1984,0.1984
6-222426272829-091818181818-000080_1,CrFeCoNiCuTi<sub>0.5</sub>,10.1016/j.matdes.2015.06.072,,7.82,198.0,700.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.0,0.0,0.19899999999999998,0.19899999999999998,0.19899999999999998,0.19899999999999998,0.0,0.0,0.0,0.0,0.0,0.19899999999999998,0.0,0.005,0.0,0.0,0.9999999999999999,6,1.0,0,0,0,0,1.0,0,0,0,0,https://10.1016/j.matdes.2015.06.072,410.0,11.3,499.85,773.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.19899999999999998,0.19899999999999998
6-132426272829-161616161616-000080_1,AlCrFeCoNiCu,10.1016/j.matdes.2015.06.072,,7.07,198.0,1303.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,1.0000000000000002,6,1.0,0,0,0,0,1.0,0,0,0,0,https://10.1016/j.matdes.2015.06.072,410.0,11.3,499.85,773.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.16666666666666669,0.16666666666666669
7-13222426272829-00178171717174-000080_1,Cu<sub>0.25</sub>AlCoCrFeNiTi<sub>0.5</sub>,10.1016/j.matdes.2015.06.072,,6.54,198.0,1994.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.1985,0.0,0.1985,0.1985,0.0025,0.1985,0.0,0.0,0.0,0.0,0.0,0.1985,0.0,0.005,0.0,0.0,1.0,7,0.012594458438287152,0,0,0,0,1.0,0,0,0,0,https://10.1016/j.matdes.2015.06.072,410.0,11.3,499.85,773.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.0025,0.1985
6-132426272829-161616161616-000086_1,AlCoCrCuFeNi,10.1016/j.jallcom.2010.03.074,,7.085,198.0,1300.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,1.0000000000000002,6,1.0,0,0,0,0,1.0,0,0,0,0,https://10.1016/j.jallcom.2010.03.074,410.0,11.3,499.85,773.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.16666666666666669,0.16666666666666669
7-13242627282942-01616161616163-000086_1,AlCoCrCuFeNiMo<sub>0.2</sub>,10.1016/j.jallcom.2010.03.074,,7.085,198.0,1420.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.16633333333333333,0.0,0.16633333333333333,0.16633333333333333,0.16633333333333333,0.16633333333333333,0.0,0.0,0.0,0.0,0.002,0.16633333333333333,0.0,0.0,0.0,0.0,1.0,7,1.0,0,0,0,0,1.0,0,0,0,0,https://10.1016/j.jallcom.2010.03.074,410.0,11.3,499.85,773.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.16633333333333333,0.16633333333333333
