Hardness (HVN),Compressive strength (MPa),Plasticity (%) - Compressive,FCC,BCC,HCP,IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr,Processing_Temperature_C,Processing_Temperature_K,Total_Composition,Num_Elements,Cu_Content,Fe_Content,Cu_Fe_Ratio,Num_Phases,Num_Crystal_Structures,Method_Other,Method_Unknown,Method_annealing,Method_arc_melting,Method_as_cast,Method_room_temperature,Method_sintering,Has_FCC_Phase,Has_BCC_Phase,Has_HCP_Phase,Has_IM_Phase,Source
410.0,1461.0,1.0,0,1,0,1,0,0.4,0.0,0,0,0.075,0.075,0.075,0.075,0,0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0,0.075,0,0,0,0.0,0.0,0,0.075,0.075,0,0.0,0.0,0.0,499.85,773.0,0.9999999999999998,9,0.075,0.075,1.0,2.0,2,False,True,False,False,False,False,False,0,1,0,1,https://doi.org/10.1016/j.dib.2018.11.111
382.0,1460.0,50.0,1,0,0,1,0,0.0,0.0,0,0,0.2,0.0,0.2,0.2,0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0,0.2,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,1.0,5,0.2,0.2,1.0,3.0,2,False,False,False,True,False,False,False,1,0,0,0,https://doi.org/10.1016/j.vacuum.2020.109173
347.0,1436.0,43.0,1,0,0,1,0,0.0,0.0,0,0,0.208,0.0,0.208,0.208,0,0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0,0.208,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,0.999,5,0.208,0.208,1.0,3.0,2,False,False,False,True,False,False,False,1,0,0,0,https://doi.org/10.1016/j.vacuum.2020.109173
480.0,1432.0,11.3,0,1,1,0,0,0.2,0.0,0,0,0.0,0.0,0.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.2,0.0,0,0.2,0.0,0.2,499.85,773.0,1.0,5,0.2,0.0,2.0,2.0,2,False,True,False,False,False,False,False,0,1,1,0,dx.doi.org/10.1016/j.matdes.2016.06.100
277.0,1421.0,34.0,1,0,0,0,0,0.0,0.0,0,0,0.217,0.0,0.217,0.217,0,0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0,0.217,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,0.998,5,0.217,0.217,1.0,1.0,1,False,False,False,True,False,False,False,1,0,0,0,https://doi.org/10.1016/j.vacuum.2020.109173
312.0,1380.0,21.3,0,1,1,0,0,0.0,0.0,0,0,0.0,0.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.2,0.0,0,0.2,0.0,0.2,499.85,773.0,1.0,5,0.2,0.0,2.0,2.0,2,False,True,False,False,False,False,False,0,1,1,0,dx.doi.org/10.1016/j.matdes.2016.06.100
582.0,1355.0,9.0,0,0,0,0,0,0.182,0.0,0,0,0.182,0.182,0.091,0.182,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.182,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,1.001,6,0.091,0.182,0.5,1.0,0,False,True,False,False,False,False,False,0,0,0,0,http://dx.doi.org/10.1016/j.jallcom.2014.06.090
570.0,1345.0,9.0,1,1,0,0,0,0.167,0.0,0,0,0.185,0.185,0.093,0.185,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.185,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,1.0,6,0.093,0.185,0.5027027027027027,2.0,2,False,True,False,False,False,False,False,1,1,0,0,http://dx.doi.org/10.1016/j.jallcom.2014.06.090
370.0,1335.0,8.8,1,0,0,0,0,0.225,0.0,0,0,0.0,0.0,0.2,0.15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0,0,0,0.0,0.0,0,0.225,0.0,0,0.0,0.0,0.0,899.85,1173.0,1.0000000000000002,5,0.2,0.15,1.3333333333333335,2.0,1,False,False,True,False,False,False,False,1,0,0,0,dx.doi.org/10.1016/j.apsusc.2015.07.207
410.0,1331.92,11.3,1,0,0,0,0,0.0,0.096,0,0,0.192,0.0,0.192,0.192,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.288,0,0,0,0.0,0.0,0,0.0,0.0,0,0.038,0.0,0.0,196.0,469.15,0.998,6,0.192,0.192,1.0,1.0,1,True,False,False,False,False,False,False,1,0,0,0,https://doi.org/10.1016/j.jallcom.2022.164310
516.0,1326.0,6.6,1,0,0,0,0,0.225,0.0,0,0,0.0,0.0,0.2,0.15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0,0,0,0.0,0.0,0,0.225,0.0,0,0.0,0.0,0.0,24.850000000000023,298.0,1.0000000000000002,5,0.2,0.15,1.3333333333333335,2.0,1,False,False,True,False,False,False,False,1,0,0,0,dx.doi.org/10.1016/j.apsusc.2015.07.207
410.0,1312.0,1.0,1,1,0,1,0,0.0,0.0,0,0,0.125,0.125,0.125,0.125,0,0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0,0.125,0,0,0,0.0,0.0,0,0.125,0.125,0,0.0,0.0,0.0,499.85,773.0,1.0,8,0.125,0.125,1.0,3.0,3,False,True,False,False,False,False,False,1,1,0,1,https://doi.org/10.1016/j.dib.2018.11.111
410.0,1272.0,2.0,1,0,0,0,0,0.0,0.0,0,0,0.167,0.167,0.167,0.167,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.167,0,0,0,0.0,0.0,0,0.167,0.0,0,0.0,0.0,0.0,499.85,773.0,1.002,6,0.167,0.167,1.0,1.0,1,False,True,False,False,False,False,False,1,0,0,0,https://doi.org/10.1016/j.dib.2018.11.111
416.0,1263.0,1.2,1,0,0,0,0,0.25,0.0,0,0,0.0,0.0,0.25,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0,0,0,0.0,0.0,0,0.25,0.0,0,0.0,0.0,0.0,899.85,1173.0,1.0,4,0.25,0.0,2.5,1.0,1,False,False,True,False,False,False,False,1,0,0,0,dx.doi.org/10.1016/j.apsusc.2015.07.207
263.0,1260.0,35.0,1,1,0,0,0,0.091,0.0,0,0,0.182,0.182,0.182,0.182,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.182,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,1.001,6,0.182,0.182,1.0,2.0,2,False,True,False,False,False,False,False,1,1,0,0,http://dx.doi.org/10.1016/j.jallcom.2014.11.085
