Id,Composition,Phases present,Hardness (HVN),Yield Strength (MPa),Ultimate Tensile Strength (MPa),Elongation (%),Compressive strength (MPa),Plasticity (%) - Compressive,Note on any unqiue processing or data features,Source,FCC,BCC,HCP,IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
352,FeCoNiCuMo,FCC1+FCC2+Cu rich,382,,,,1460,50,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,0,0,1,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
351,FeCoNiCuMo0.8,FCC1+FCC2+Cu rich,347,,,,1436,43,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,0,0,1,0,0,0,0,0,0.208,0,0.208,0.208,0,0,0,0,0,0,0.167,0,0,0,0.208,0,0,0,0,0,0,0,0,0,0,0,0
814,CuYZrTiAl,HCP1+BCC,480,,,,1432,,,dx.doi.org/10.1016/j.matdes.2016.06.100,0,1,1,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0.2
350,FeCoNiCuMo0.6,FCC,277,,,,1421,34,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,0,0,0,0,0,0,0,0,0.217,0,0.217,0.217,0,0,0,0,0,0,0.13,0,0,0,0.217,0,0,0,0,0,0,0,0,0,0,0,0
815,CuYZrTiHf,HCP1+BCC,312,,,,1380,21.3,,dx.doi.org/10.1016/j.matdes.2016.06.100,0,1,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0.2
886,FeCrNiCoCu0.5Al,,582,,,,1355,9,,http://dx.doi.org/10.1016/j.jallcom.2014.06.090,0,0,0,0,0,0.182,0,0,0,0.182,0.182,0.091,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0
885,FeCrNiCoCu0.5Al0.9,FCC+BCC,570,,,,1345,9,,http://dx.doi.org/10.1016/j.jallcom.2014.06.090,1,1,0,0,0,0.167,0,0,0,0.185,0.185,0.093,0.185,0,0,0,0,0,0,0,0,0,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0
653,Al22.5Ti22.5Ni20.0Cu20.0Fe15.0,FCC1 + FCC2,370,,,,1335,8.8,1173K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.207,1,0,0,0,0,0.225,0,0,0,0,0,0.2,0.15,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.225,0,0,0,0,0
570,FeCoNi1.5CuB0.5Y0.2,FCC,,,,,1331.92,,"−196 °C, 36 h, 10 °C/min",https://doi.org/10.1016/j.jallcom.2022.164310,1,0,0,0,0,0,0.096,0,0,0.192,0,0.192,0.192,0,0,0,0,0,0,0,0,0,0,0.288,0,0,0,0,0,0,0,0,0,0.038,0,0
651,Al22.5Ti22.5Ni20.0Cu20.0Fe15.0,FCC1 + FCC2,516,,,,1326,6.6,298K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.207,1,0,0,0,0,0.225,0,0,0,0,0,0.2,0.15,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.225,0,0,0,0,0
