Unique ID,Composition,doi,Phase,ρ (g/cm<sup>3</sup>),E (GPa),σ (MPa) at 23 C,σ(MPa) at 1000 C,σ(MPa) at 1200 C,G (GPa),C11 (GPa),Fracture Toughness,Ductility [%],Test Type
6-242627282964-019191919193-000152_1,Gd<sub>0.2</sub>CoCrCuFeNi,10.1016/j.msea.2017.09.102,FCC,,,739,,,,,,16.6,C
6-242627282964-018181818185-000152_1,Gd<sub>0.3</sub>CoCrCuFeNi,10.1016/j.msea.2017.09.102,FCC,,,1132,,,,,,12.8,C
4-13242629-25252525-000154_1,AlFeCuCr,10.1007/s1254 0-019-00565 -z,,,,1950,,,,,,,
5-1213242629-1122222222-000154_1,AlFeCuCrMg<sub>0.5</sub>,10.1007/s1254 0-019-00565 -z,,,,2559,,,,,,,
5-1213242629-2020202020-000154_1,AlFeCuCrMg,10.1007/s1254 0-019-00565 -z,,,,2220,,,,,,,
5-1213242629-2718181818-000154_1,AlFeCuCrMg<sub>1.5</sub>,10.1007/s1254 0-019-00565 -z,,,,1559,,,,,,,
5-2526272829-2020202020-000162_1,FeMnNiCoCu,10.1016/j.matdes.2018.07.046,,,189.6,499,,,75.29,,,,
6-132426272829-161616161616-000174_1,AlCrCuNiFeCo,10.1016/j.matchemphys.2017.07.079,,,,18,,,,,,860,T
6-222426272829-091818181818-000177_1,CoCrCuFeNiTi<sub>0.5</sub>,10.1016/j.msea.2018.09.050,,,,700,,,,,,21.6,C
6-222426272829-131717171717-000177_1,CoCrCuFeNiTi<sub>0.8</sub>,10.1016/j.msea.2018.09.050,,,,1042,,,,,,2.11,C
6-222426272829-161616161616-000177_1,CoCrCuFeNiTi,10.1016/j.msea.2018.09.050,,,,1272,,,,,,1.6,C
6-242627282964-019191919191-000177_1,CoCrCuFeNiGd<sub>0.1</sub>,10.1016/j.msea.2018.09.050,,,,526,,,,,,22.9,C
6-242627282964-019191919193-000177_1,CoCrCuFeNiGd<sub>0.2</sub>,10.1016/j.msea.2018.09.050,,,,739,,,,,,16.6,C
6-242627282964-018181818185-000177_1,CoCrCuFeNiGd<sub>0.3</sub>,10.1016/j.msea.2018.09.050,,,,1132,,,,,,12.8,C
7-13222426272829-00178171717174-000185_1,Cu<sub>0.25</sub>AlCoCrFeNiTi<sub>0.5</sub>,10.1016/j.intermet.2018.09.011,BCC,,,1994,,,,,,9.05,C
6-132426272829-161616161616-000194_1,AlCoCrCuFeNi,10.1016/j.jallcom.2018.01.247,,,,1300,,,,,,9.9,C
7-13242627282942-01616161616163-000194_1,AlCoCrCuFeMo<sub>0.2</sub>Ni,10.1016/j.jallcom.2018.01.247,,,,1420,,,,,,3.5,C
